
TABLE_NAME                                                                                                                         NUM_ROWS     BLOCKS AVG_ROW_LEN
-------------------------------------------------------------------------------------------------------------------------------- ---------- ---------- -----------
ICOL$                                                                                                                                  4931       1768          30
COL$                                                                                                                                 120274       1768          69
IND$                                                                                                                                   2866       1768          88
TAB$                                                                                                                                   2188       1768         138
CLU$                                                                                                                                     10       1768          45
LOB$                                                                                                                                    667       1768          52
COLTYPE$                                                                                                                               2973       1768          48
SUBCOLTYPE$                                                                                                                              40       1768          35
NTAB$                                                                                                                                   456       1768          17
REFCON$                                                                                                                                   0       1477           0
OPQTYPE$                                                                                                                                192       1768          26

TABLE_NAME                                                                                                                         NUM_ROWS     BLOCKS AVG_ROW_LEN
-------------------------------------------------------------------------------------------------------------------------------- ---------- ---------- -----------
ICOLDEP$                                                                                                                                 51       1768          13
VIEWTRCOL$                                                                                                                                0       1477           0
LIBRARY$                                                                                                                                241       1768          50
ASSEMBLY$                                                                                                                                 0       1477           0
ATTRCOL$                                                                                                                               1055       1768          42
TYPE_MISC$                                                                                                                             3191       1768          47
TS$                                                                                                                                       6          7          89
FET$                                                                                                                                      0          5           0
SEG$                                                                                                                                   5224        152          66
UET$                                                                                                                                      0        108           0
USER$                                                                                                                                   122          7         149

TABLE_NAME                                                                                                                         NUM_ROWS     BLOCKS AVG_ROW_LEN
-------------------------------------------------------------------------------------------------------------------------------- ---------- ---------- -----------
TSQ$                                                                                                                                      6          7          20
UNDO$                                                                                                                                    21          1          60
FILE$                                                                                                                                     6          1          40
OBJ$                                                                                                                                  72795       1206         111
PROXY_DATA$                                                                                                                               0          0           0
PROXY_ROLE_DATA$                                                                                                                          0          0           0
CON$                                                                                                                                   7139         28          22
CDEF$                                                                                                                                  7138        103          48
CCOL$                                                                                                                                  8720        103          20
BOOTSTRAP$                                                                                                                               60          3         314
OBJERROR$                                                                                                                                 0          1           0

TABLE_NAME                                                                                                                         NUM_ROWS     BLOCKS AVG_ROW_LEN
-------------------------------------------------------------------------------------------------------------------------------- ---------- ---------- -----------
OBJAUTH$                                                                                                                              52272        172          21
HISTGRM$                                                                                                                              33368        719          33
HIST_HEAD$                                                                                                                            45395        365          50
FIXED_OBJ$                                                                                                                             1313          4          19
TAB_STATS$                                                                                                                             1166         12          40
IND_STATS$                                                                                                                                0          0           0
OBJECT_USAGE                                                                                                                              0          0           0
PARTOBJ$                                                                                                                                266          3          50
DEFERRED_STG$                                                                                                                           580          5          29
DEPENDENCY$                                                                                                                          141064        797          36
ACCESS$                                                                                                                              112252        463          24

TABLE_NAME                                                                                                                         NUM_ROWS     BLOCKS AVG_ROW_LEN
-------------------------------------------------------------------------------------------------------------------------------- ---------- ---------- -----------
USERAUTH$                                                                                                                                 7          1          17
UGROUP$                                                                                                                                   0          0           0
SYN$                                                                                                                                  12186         76          39
VIEW$                                                                                                                                  7208       1015          62
TYPED_VIEW$                                                                                                                             497          7          66
SUPEROBJ$                                                                                                                                 0          0           0
SEQ$                                                                                                                                    302          4          70
IDNSEQ$                                                                                                                                   0          0           0
PROPS$                                                                                                                                   42          1          53
EDITION$                                                                                                                                  1          1          85
USER_EDITIONING$                                                                                                                          2          1           6

TABLE_NAME                                                                                                                         NUM_ROWS     BLOCKS AVG_ROW_LEN
-------------------------------------------------------------------------------------------------------------------------------- ---------- ---------- -----------
MIGRATE$                                                                                                                                  1          1           3
VIEWCON$                                                                                                                                  0          0           0
DUAL                                                                                                                                      1          1           2
SYSAUTH$                                                                                                                               1152          4          14
OBJPRIV$                                                                                                                                  0          0           0
DEFROLE$                                                                                                                                  0          0           0
CDB_LOCAL_ADMINAUTH$                                                                                                                      0          0           0
ECOL$                                                                                                                                     0          0           0
EV$                                                                                                                                       0          0           0
EVCOL$                                                                                                                                    0          0           0
